"-40_ura3_A" "-20_ura3_A" "0_ura3_A" "10_ura3_A" "20_ura3_A" "40_ura3_A" "60_ura3_A" "80_ura3_A"
"VNG0187H" 0.0391415059566498 0.142728924751282 0.256724923849106 0.667853116989136 0.741651594638824 -0.25668528676033 -0.258079290390015 -0.593371331691742
"VNG0933G" 0.440372914075851 0.396890163421631 0.498732298612595 0.443645983934402 0.78091710805893 -1.03374254703522 0.0367183163762093 -0.63601016998291
"VNG1834G" -0.00236536376178265 0.00737143447622657 0.371607840061188 1.41560471057892 0.688153624534607 -0.156223893165588 -0.340614944696426 -0.497168898582458
"VNG0914H" 0.434703350067139 0.372122138738632 0.355755090713501 0.613076329231262 1.5199316740036 -0.310936152935028 0.113908790051937 -0.549887657165527
"VNG0448G" 0.0981354415416718 0.275939613580704 0.231917187571526 0.976874649524689 1.72311890125275 -0.898141503334045 -0.840391337871552 -1.21966791152954
"VNG0861H" 0.296700119972229 0.624601423740387 0.90163803100586 0.946676433086395 0.567373991012573 -0.901817619800568 -0.654810965061188 -0.905861020088196
"VNG0878G" 0.582460641860962 0.939508497714996 1.09183597564697 0.945132911205292 1.10519778728485 -1.35497081279755 -0.554451644420624 -1.05614542961121
"VNG1492C" 0.280312895774841 0.76290088891983 1.02418994903564 0.887290596961975 0.554618656635284 -0.714931428432465 -0.699539840221405 -0.981703042984009
"VNG1565G" 0.315495729446411 -0.0323360450565815 -0.444284796714783 0.330006986856461 2.13936114311218 -0.0647447556257248 -0.362672924995422 -1.71299254894257
"VNG1570H" 0.0725953206419945 0.0783000588417053 0.00208484684117138 0.67123794555664 1.18266439437866 -0.462141185998917 -0.654633462429047 -1.17056477069855
"VNG0006G" -0.116402752697468 -0.0759836286306381 0.0681129395961761 0.498738914728165 0.611484408378601 -0.639514803886414 -0.803583025932312 -0.990557789802551
"VNG0786G" -0.054058276116848 -0.324155688285828 0.0225174054503441 0.881678104400635 1.12252581119537 -0.620187878608704 -1.05065798759460 -1.49312233924866
"VNG1162H" 0.11173777282238 -0.0566488392651081 -0.240593865513802 0.259112507104874 0.687905967235565 -0.355775415897369 -0.488931655883789 -1.29525101184845
"VNG1998H" -0.150738805532455 -0.0786039307713509 0.271651357412338 0.630168199539185 0.678633868694305 -0.452953726053238 -1.11564028263092 -1.58982789516449
"VNG1618H" -0.0725524872541428 0.00887189991772175 0.00510383816435933 0.233848452568054 0.629504144191742 -0.962521493434906 -1.24230265617371 -1.63974642753601
