156.1	158.1	178.7	260.3	208.2	333.2
582	582.6	760.9	889.3	636.2	737
76.6	61.9	69.3	69.2	82.2	67.6
40	57.7	60.3	75.5	45.1	63.4
88.1	70.7	145.8	159.4	196.3	113.8
41.5	118.7	133.1	121.4	102.1	112.6
789.8	1361.5	1840.4	1327.4	889.2	894.1
2918	4592.2	4012.9	3588.3	2008	2858
21.2	53.9	45	20	20	22.3
68	114.4	136.4	178	53.5	109.7
20	53.2	20	25.4	28.5	73.9
687.3	710	705.3	982.9	612.6	1088.9
50.5	53.9	50	37.3	20	117.4
111.7	158.3	226.3	146.8	112.1	108.6
451.6	601.4	665.3	649.2	572	627.8
129	191.5	233.5	209.6	148.2	191.8
410.3	481.2	296.2	536.6	136.8	251.9
135.9	225.4	498.4	382.5	481.7	333.2
143.3	195.9	222.5	103.2	77.5	105.2
98.2	117.8	216.3	93	124.9	199.1
114	230.2	227.5	265.8	161.5	184.2
361	263.2	376.6	431	172.2	320.2
216.5	154.8	216.3	241.7	231.9	272.2
390.9	406.4	601.5	614	425.9	410.6
56	96.1	131.4	131.5	136.3	57.7
336.7	667.5	620.6	634.4	524.7	568.2
306.4	415.7	454.1	462.9	431.7	467.6
48.8	20	42.5	35.1	90.5	50.6
1953	1285.2	1681.1	1879.3	1340.8	1691.4
849	402.2	832.9	1226.5	1096.5	1135.2
63.8	36.8	72.5	76.9	63.9	157.6
427	2358.6	1836.2	994.1	808.4	902.8
2447.3	1876.2	1967.2	2049.3	2158.2	1604.8
1239.1	2165.2	1852.2	1737.4	1033.9	1681.7
552.1	910.9	766.4	799.6	652.6	641.1
351	832.3	925	786.2	506.4	434.4
775.4	1201.3	1387.1	1216.7	701.8	1056.4
156.3	88.2	187.5	105.4	45.2	151.8
263	318.7	426.2	436.8	449.3	557.5
495.9	299.5	272.7	292.2	249.8	337.2
8017	6395.5	7966.4	9237	7871.8	6707.4
1468	2890.2	3554.6	3686.6	2093.6	2210.3
244.2	198.5	357.3	353.3	202.2	292.5
282	107.7	230.4	209.9	89.2	434.7
314.7	323	282.1	289.6	279.5	325
153.1	203.3	250	248.2	329.5	323.8
78.2	26.9	105	65.9	20	56.7
2115.1	3519.6	3467	1656.1	2171.1	1651.4
205.2	318.4	334.9	329.5	471.7	299.5
365.4	648.4	722.6	458.7	442.5	398.7
143.5	57.2	333.8	225.8	184.4	300.7
113.3	136.9	220.7	215.9	198.4	230.5
83	149.9	215.1	227.2	202.6	152.3
57	82.1	156.7	128.2	97.6	143
20	156.7	251	334.6	165.7	259.2
73	50.5	20	20	20	89.4
687	910.2	805.7	1352.8	956.6	820.7
676	387.4	734.7	660.8	544.1	554.2
3789	1442.6	2084.7	2460	2132.3	3001.2
1863	1866.1	2071.6	1803.9	1424.3	1618.7
5254	1856.5	3152.7	3096.8	2328.4	2786.5
448.1	652.8	916.9	996.2	600.7	767.9
3232.1	2209.3	2454.6	2457.8	3747.7	2416.3
211.7	2059.9	272.5	184.5	284.3	174
53.7	20	30	149.4	25.8	139.6
20	20.7	108	35.8	32.2	35.8
133	188.5	161.5	159.5	120.6	47.1
737	1678.3	1206.6	1258.4	669.3	930.4
802.6	1052.9	1246.9	896.2	702.4	747
190.5	291.5	337.4	437.1	303.7	242.8
80.6	47.1	174	85	166.5	150.3
84.6	162.5	165.7	183.5	160.2	140.4
193.8	376.9	371.5	321.4	273.6	345.3
256.8	262.5	202.2	244.4	255.7	215.3
255.3	287.2	309.9	412.8	218.4	215.9
173.7	138	131.7	156.7	113	113.8
22.7	20	20	29.2	20	20
20	20	20	20	20	20
35.1	43.8	100.4	120.7	102.1	98
57.9	43.7	84.6	58.4	41.6	101.6
443.6	225.8	401.5	561.7	445.8	368.2
127	73.9	110	137.4	107.7	147.9
132.4	123.8	131.5	88.2	64.8	80.8
312.7	467.8	473.2	367.7	263.2	455.6
455.9	627	772.4	724.8	820.6	712.3
239	203.3	151.8	211.6	192.4	247
3124.1	3408.6	4118.9	3068.2	3021.3	3209.7
2313.8	1143.8	1412.3	1188.3	1079.1	1102.9
1368	354.2	859.2	1229.1	842.4	872.8
41.5	164.8	154.6	105.2	179.3	168.2
209	278.4	174.5	172.9	209.2	392.1
191.5	267.2	249.4	149.6	202.6	397.4
121.3	196.9	124.3	159.5	194.3	313.9
167	144.9	142.1	164.1	161.1	276.3
91.2	71	132.5	68.1	122.8	149.8
594	453.2	703.5	1019.5	691.4	888.2
83	213.1	97.5	235	232.6	220.6
138.5	80.8	42.3	108.9	130.8	231.6
151.4	20	20	59.3	20	54.6
20	107.7	51.7	69.1	101.1	40.6
176.2	50.5	178.7	154.1	160.6	296.6
801	593	638.3	566.4	372	471.3
20	20	20	20	20	20
543.8	393.7	677.1	472.9	416.3	422.5
408.5	571.6	670	496.8	389.4	435.8
606.3	712.6	551.3	586.4	534.7	657
760.3	918.6	1415.3	1155.6	904	1206.7
1258	1333.1	760	1079.3	910.6	1035.3
460	607.8	634.4	716.7	391.3	627.3
2463	2753.8	4238.9	5381.6	3885.7	115224.9
